date,price,greedCoef
29-10-2018,6470.74,34
30-10-2018,6314.38,31
31-10-2018,6309.11,32
01-11-2018,6342.81,29
02-11-2018,6381.3,36
03-11-2018,6394.65,36
04-11-2018,6376.55,41
05-11-2018,6467.05,42
06-11-2018,6433.53,42
07-11-2018,6479.72,48
08-11-2018,6530.94,51
09-11-2018,6446.06,47
10-11-2018,6377.99,52
11-11-2018,6396.39,54
12-11-2018,6408.18,52
13-11-2018,6375.08,56
14-11-2018,6339.17,49
15-11-2018,5740.51,28
16-11-2018,5647.5,23
17-11-2018,5586.97,24
18-11-2018,5567.95,26
19-11-2018,5615.26,28
20-11-2018,4809.62,21
21-11-2018,4441.81,15
22-11-2018,4593.04,14
23-11-2018,4320.68,12
24-11-2018,4343.42,15
25-11-2018,3854.11,9
26-11-2018,4004.46,17
27-11-2018,3784.77,11
28-11-2018,3822.99,14
29-11-2018,4263.52,18
30-11-2018,4286.85,19
01-12-2018,4009.67,13
02-12-2018,4197.7,15
03-12-2018,4143.86,17
04-12-2018,3871.41,12
05-12-2018,3948.44,19
06-12-2018,3737.53,13
07-12-2018,3485.18,11
08-12-2018,3420.57,11
09-12-2018,3461.07,14
10-12-2018,3592.84,19
11-12-2018,3467.16,15
12-12-2018,3401.02,14
13-12-2018,3485.59,14
14-12-2018,3305.11,10
15-12-2018,3235.48,11
16-12-2018,3232.51,13
17-12-2018,3255.37,17
18-12-2018,3548.19,23
19-12-2018,3715.85,21
20-12-2018,3736.54,27
21-12-2018,4137.66,35
22-12-2018,3898.81,28
23-12-2018,4045.24,31
24-12-2018,4007.63,25
25-12-2018,4081.95,33
26-12-2018,3834.73,26
27-12-2018,3848.78,29
28-12-2018,3646.09,21
29-12-2018,3947.86,24
30-12-2018,3797.06,23
31-12-2018,3896.21,26
01-01-2019,3747.39,24
02-01-2019,3880.15,30
03-01-2019,3961.01,33
04-01-2019,3835.86,48
05-01-2019,3874.06,36
06-01-2019,3855.39,31
07-01-2019,4102.85,39
08-01-2019,4050.4,39
09-01-2019,4040.75,42
10-01-2019,4048.34,37
11-01-2019,3668.15,19
12-01-2019,3669.2,22
13-01-2019,3664.38,21
14-01-2019,3551.24,16
15-01-2019,3703.9,27
16-01-2019,3621.24,24
17-01-2019,3643.99,28
18-01-2019,3685.3,29
19-01-2019,3648.05,31
20-01-2019,3729.78,35
21-01-2019,3567.73,30
22-01-2019,3571.92,27
23-01-2019,3602.04,33
24-01-2019,3572.05,37
25-01-2019,3598.52,35
26-01-2019,3582.89,41
27-01-2019,3596.5,39
28-01-2019,3565.08,35
29-01-2019,3453.42,21
30-01-2019,3418.25,22
31-01-2019,3467.21,17
01-02-2019,3434.13,23
02-02-2019,3461.63,22
03-02-2019,3508.68,19
04-02-2019,3449.62,27
05-02-2019,3431.24,21
06-02-2019,3447.66,14
07-02-2019,3394.89,18
08-02-2019,3375.33,37
09-02-2019,3660.03,42
10-02-2019,3652.26,40
11-02-2019,3685.14,46
12-02-2019,3611.34,38
13-02-2019,3617.41,48
14-02-2019,3605.87,48
15-02-2019,3588.72,43
16-02-2019,3593.49,43
17-02-2019,3617.24,38
18-02-2019,3670.92,63
19-02-2019,3912.57,65
20-02-2019,3924.24,59
21-02-2019,3974.05,59
22-02-2019,3937.04,61
23-02-2019,3983.53,63
24-02-2019,4149.09,69
25-02-2019,3771.62,47
26-02-2019,3845.51,40
27-02-2019,3817.88,39
28-02-2019,3830.72,39
01-03-2019,3823.37,42
02-03-2019,3831.48,41
03-03-2019,3842.94,44
04-03-2019,3812.31,36
05-03-2019,3731.28,35
06-03-2019,3874.18,42
07-03-2019,3874.98,56
08-03-2019,3882.61,54
09-03-2019,3868.02,55
10-03-2019,3947.74,55
11-03-2019,3929.84,56
12-03-2019,3874.89,56
13-03-2019,3888.57,54
14-03-2019,3878.44,55
15-03-2019,3881.44,55
16-03-2019,3927.08,54
17-03-2019,4027.01,58
18-03-2019,3998,56
19-03-2019,3988.85,56
20-03-2019,4024.14,55
21-03-2019,4056.75,62
22-03-2019,3996.93,56
23-03-2019,4000.84,50
24-03-2019,4007.21,44
25-03-2019,3994.11,46
26-03-2019,3924.55,43
27-03-2019,3942.22,44
28-03-2019,4045.98,49
29-03-2019,4036.45,50
30-03-2019,4111.38,57
31-03-2019,4118.13,56
28-10-2019,9550.6,52
29-10-2019,9222.23,54
30-10-2019,9432.86,53
31-10-2019,9169.86,50
01-11-2019,9157.52,49
02-11-2019,9260.59,51
03-11-2019,9311.99,56
04-11-2019,9221.61,49
05-11-2019,9421.54,54
06-11-2019,9323.61,53
07-11-2019,9347.27,54
08-11-2019,9208.52,42
09-11-2019,8772.31,38
10-11-2019,8822.19,39
11-11-2019,9045.85,40
12-11-2019,8726.31,39
13-11-2019,8815.14,38
14-11-2019,8773.82,41
15-11-2019,8640.42,38
16-11-2019,8468.57,41
17-11-2019,8498.94,38
18-11-2019,8515.28,38
19-11-2019,8190.16,32
20-11-2019,8133.57,32
21-11-2019,8093.6,30
22-11-2019,7632.59,20
23-11-2019,7292.2,23
24-11-2019,7339.24,21
25-11-2019,6930.09,17
26-11-2019,7138.23,21
27-11-2019,7170.11,20
28-11-2019,7531.5,32
29-11-2019,7442.33,31
30-11-2019,7769.38,38
01-12-2019,7571.77,25
02-12-2019,7420.53,28
03-12-2019,7320.94,28
04-12-2019,7313.64,24
05-12-2019,7207.78,21
06-12-2019,7406.75,29
07-12-2019,7558.58,32
08-12-2019,7514.86,28
09-12-2019,7539.7,32
10-12-2019,7350.62,26
11-12-2019,7233.84,20
12-12-2019,7212.01,23
13-12-2019,7199.39,22
14-12-2019,7261.72,27
15-12-2019,7080.29,21
16-12-2019,7132.39,24
17-12-2019,6897.33,23
18-12-2019,6635.84,15
19-12-2019,7294.53,21
20-12-2019,7159.26,23
21-12-2019,7203.41,23
22-12-2019,7159.47,20
23-12-2019,7517.58,33
24-12-2019,7326.6,25
25-12-2019,7260.91,22
26-12-2019,7202.72,39
27-12-2019,7207.23,38
28-12-2019,7253.82,37
29-12-2019,7316.23,37
30-12-2019,7399.49,40
31-12-2019,7234.44,38
01-01-2020,7183.88,37
02-01-2020,7189.94,39
03-01-2020,6965.72,38
04-01-2020,7339.7,38
05-01-2020,7357.5,39
06-01-2020,7359.96,41
07-01-2020,7762.69,40
08-01-2020,8160.36,51
09-01-2020,8045.15,44
10-01-2020,7817.35,41
11-01-2020,8190.31,50
12-01-2020,8024.58,45
13-01-2020,8181.49,49
14-01-2020,8106.56,56
15-01-2020,8820.95,54
16-01-2020,8813.21,55
17-01-2020,8719.63,54
18-01-2020,8894.83,51
19-01-2020,8909.28,53
20-01-2020,8702.59,48
21-01-2020,8634.03,49
22-01-2020,8724.84,52
23-01-2020,8667.26,49
24-01-2020,8394.28,40
25-01-2020,8431.78,41
26-01-2020,8345.88,42
27-01-2020,8602.37,50
28-01-2020,8898.94,54
29-01-2020,9391.97,57
30-01-2020,9286.18,57
31-01-2020,9501.38,55
01-02-2020,9342.23,57
02-02-2020,9384.45,57
03-02-2020,9334.25,59
04-02-2020,9288.96,56
05-02-2020,9171.98,53
06-02-2020,9611.42,61
07-02-2020,9755.84,56
08-02-2020,9808.36,56
09-02-2020,9898.25,56
10-02-2020,10157.78,57
11-02-2020,9858.03,52
12-02-2020,10269.43,61
13-02-2020,10347.93,65
14-02-2020,10233.32,63
15-02-2020,10360.37,64
16-02-2020,9905.43,59
17-02-2020,9925.51,49
18-02-2020,9702.48,53
19-02-2020,10182.6,50
20-02-2020,9602.43,44
21-02-2020,9608.8,44
22-02-2020,9697.86,43
23-02-2020,9671.46,46
24-02-2020,9977.39,46
25-02-2020,9664.21,44
26-02-2020,9316.18,41
27-02-2020,8793.5,39
28-02-2020,8821.5,40
29-02-2020,8719.29,38
01-03-2020,8545.45,39
02-03-2020,8549.38,38
03-03-2020,8919.74,38
04-03-2020,8765.68,40
05-03-2020,8773.78,41
06-03-2020,9074.82,39
07-03-2020,9160.39,38
08-03-2020,8903.72,33
09-03-2020,8057.67,17
10-03-2020,7944.4,16
11-03-2020,7894.66,17
12-03-2020,7945.36,14
13-03-2020,4916.78,10
14-03-2020,5632.58,8
15-03-2020,5181.77,12
16-03-2020,5357.02,9
17-03-2020,5045,8
18-03-2020,5337.66,11
19-03-2020,5413.06,12
20-03-2020,6184.88,9
21-03-2020,6206.44,9
22-03-2020,6195.43,11
23-03-2020,5828.15,10
24-03-2020,6503.53,12
25-03-2020,6767.18,13
26-03-2020,6694.21,14
27-03-2020,6757.95,12
28-03-2020,6382.8,8
29-03-2020,6252.49,12
26-10-2020,13041.21,75
27-10-2020,13069.43,61
28-10-2020,13646.02,70
29-10-2020,13285.97,67
30-10-2020,13462.18,74
31-10-2020,13565.95,73
01-11-2020,13803.41,72
02-11-2020,13761.72,71
03-11-2020,13571.24,71
04-11-2020,14023.78,74
05-11-2020,14157.73,72
06-11-2020,15599.92,90
07-11-2020,15590.62,88
08-11-2020,14838.16,82
09-11-2020,15488.25,90
10-11-2020,15335.03,90
11-11-2020,15313.73,86
12-11-2020,15707.08,87
13-11-2020,16306.53,89
14-11-2020,16332.85,90
15-11-2020,16075.95,86
16-11-2020,15964.7,90
17-11-2020,16721.46,86
18-11-2020,17681.54,91
19-11-2020,17786.27,94
20-11-2020,17824.64,86
21-11-2020,18672.78,91
22-11-2020,18704.06,94
23-11-2020,18430.59,90
24-11-2020,18385.74,88
25-11-2020,19157.16,94
26-11-2020,18725.76,93
27-11-2020,17175.86,86
28-11-2020,17155,87
29-11-2020,17739.9,89
30-11-2020,18199.23,88
01-12-2020,19686.87,95
02-12-2020,18792.03,92
03-12-2020,19226.19,92
04-12-2020,19448.44,92
05-12-2020,18665,93
06-12-2020,19156.84,95
07-12-2020,19378.94,94
08-12-2020,19181.41,95
09-12-2020,18323.52,86
10-12-2020,18549.92,94
11-12-2020,18250.47,89
12-12-2020,18034.86,90
